x   a   b   c   d
0 1 1 1 1
0.2 1 0.96 1.03 1.1813
0.4 1 0.92 1.06 1.3297
0.6 1 0.88 1.09 1.4512
0.8 1 0.84 1.12 1.5507
1 1 0.8 1.15 1.6321
1.2 1 0.76 1.18 1.6988
1.4 1 0.72 1.21 1.7534
1.6 1 0.68 1.24 1.7981
1.8 1 0.64 1.27 1.8347
2 1 0.6 1.3 1.8647
2.2 1 0.56 1.325 1.8892
2.4 1 0.52 1.345 1.9093
2.6 1 0.48 1.36 1.9257
2.8 1 0.44 1.37 1.9392
3 1 0.4 1.375 1.9502
3.2 1 0.36 1.375 1.9592
3.4 1 0.32 1.375 1.9666
3.6 1 0.28 1.375 1.9727
3.8 1 0.24 1.375 1.9776
4 1 0.2 1.375 1.9817
4.2 1 0.16 1.375 1.985
4.4 1 0.12 1.375 1.9877
4.6 1 0.08 1.375 1.9899
4.8 1 0.04 1.375 1.9918
5 1 0 1.375 1.9933
