Capital City,Latitude,Longitude,Country,Continent
Kabul,34.51666667,69.18333299999999,Afghanistan,Asia
Mariehamn,60.11666700000001,19.9,Aland Islands,Europe
Tirana,41.31666667,19.816667000000002,Albania,Europe
Algiers,36.75,3.05,Algeria,Africa
Pago Pago,-14.26666667,-170.7,American Samoa,Australia
Andorra la Vella,42.5,1.516667,Andorra,Europe
Luanda,-8.833333332999999,13.216667000000001,Angola,Africa
The Valley,18.21666667,-63.05,Anguilla,North America
Saint John’s,17.11666667,-61.85,Antigua and Barbuda,North America
Buenos Aires,-34.58333333,-58.666667000000004,Argentina,South America
Yerevan,40.16666667,44.5,Armenia,Europe
Oranjestad,12.51666667,-70.033333,Aruba,North America
Canberra,-35.26666667,149.133333,Australia,Australia
Vienna,48.2,16.366667,Austria,Europe
Baku,40.38333333,49.866667,Azerbaijan,Europe
Nassau,25.08333333,-77.35,Bahamas,North America
Manama,26.23333333,50.566666999999995,Bahrain,Asia
Dhaka,23.71666667,90.4,Bangladesh,Asia
Bridgetown,13.1,-59.61666700000001,Barbados,North America
Minsk,53.9,27.566667,Belarus,Europe
Brussels,50.83333333,4.3333330000000005,Belgium,Europe
Belmopan,17.25,-88.766667,Belize,Central America
Porto-Novo,6.483333332999999,2.6166669999999996,Benin,Africa
Hamilton,32.28333333,-64.783333,Bermuda,North America
Thimphu,27.46666667,89.633333,Bhutan,Asia
La Paz,-16.5,-68.15,Bolivia,South America
Sarajevo,43.86666667,18.416667,Bosnia and Herzegovina,Europe
Gaborone,-24.63333333,25.9,Botswana,Africa
Brasilia,-15.78333333,-47.916667,Brazil,South America
Diego Garcia,-7.3,72.4,British Indian Ocean Territory,Africa
Road Town,18.41666667,-64.616667,British Virgin Islands,North America
Bandar Seri Begawan,4.883333333,114.933333,Brunei Darussalam,Asia
Sofia,42.68333333,23.316667000000002,Bulgaria,Europe
Ouagadougou,12.36666667,-1.516667,Burkina Faso,Africa
Bujumbura,-3.366666667,29.35,Burundi,Africa
Phnom Penh,11.55,104.91666699999999,Cambodia,Asia
Yaounde,3.866666667,11.516667,Cameroon,Africa
Ottawa,45.41666667,-75.7,Canada,Central America
Praia,14.91666667,-23.516667,Cape Verde,Africa
George Town,19.3,-81.383333,Cayman Islands,North America
Bangui,4.366666667,18.583333,Central African Republic,Africa
N’Djamena,12.1,15.033332999999999,Chad,Africa
Santiago,-33.45,-70.666667,Chile,South America
Beijing,39.91666667,116.38333300000001,China,Asia
The Settlement,-10.41666667,105.71666699999999,Christmas Island,Australia
West Island,-12.16666667,96.833333,Cocos Islands,Australia
Bogota,4.6,-74.083333,Colombia,South America
Moroni,-11.7,43.233333,Comoros,Africa
Avarua,-21.2,-159.76666699999998,Cook Islands,Australia
San Jose,9.933333333,-84.083333,Costa Rica,Central America
