x c1 c2 c3 c4
-1 6.1232e-17 5.0133e-17 3.7139e-17 2.7513e-17
-0.93333 0.10453 0.085581 0.0634 0.046968
-0.86667 0.20791 0.17022 0.1261 0.093421
-0.8 0.30902 0.253 0.18743 0.13885
-0.73333 0.40674 0.33301 0.2467 0.18276
-0.66667 0.5 0.40937 0.30327 0.22466
-0.6 0.58779 0.48124 0.35651 0.26411
-0.53333 0.66913 0.54784 0.40585 0.30066
-0.46667 0.74314 0.60844 0.45074 0.33392
-0.4 0.80902 0.66237 0.49069 0.36351
-0.33333 0.86603 0.70904 0.52527 0.38913
-0.26667 0.91355 0.74795 0.55409 0.41048
-0.2 0.95106 0.77866 0.57684 0.42734
-0.13333 0.97815 0.80084 0.59328 0.43951
-0.066667 0.99452 0.81425 0.60321 0.44687
0 1 0.81873 0.60653 0.44933
0.066667 0.99452 0.81425 0.60321 0.44687
0.13333 0.97815 0.80084 0.59328 0.43951
0.2 0.95106 0.77866 0.57684 0.42734
0.26667 0.91355 0.74795 0.55409 0.41048
0.33333 0.86603 0.70904 0.52527 0.38913
0.4 0.80902 0.66237 0.49069 0.36351
0.46667 0.74314 0.60844 0.45074 0.33392
0.53333 0.66913 0.54784 0.40585 0.30066
0.6 0.58779 0.48124 0.35651 0.26411
0.66667 0.5 0.40937 0.30327 0.22466
0.73333 0.40674 0.33301 0.2467 0.18276
0.8 0.30902 0.253 0.18743 0.13885
0.86667 0.20791 0.17022 0.1261 0.093421
0.93333 0.10453 0.085581 0.0634 0.046968
1 6.1232e-17 5.0133e-17 3.7139e-17 2.7513e-17
